¿Qué tipo de articulación son los discos intervertebrales?	Sínfisis
¿Qué músculo produce rotación contralateral del tronco?	Oblicuo externo
¿Qué músculo puede producir flexión lateral del tronco?	Iliocostal
¿Qué músculo no es flexor lateral del tronco?	Transverso del abdomen
¿Qué estructuras pasan por el hiato aórtico?	Aorta y conducto torácico
¿Qué nervios atraviesan el hiato esofágico?	Vagos
¿Qué estructura es posterior al hiato esofágico?	Aorta
¿Qué pilar del diafragma contribuye a formar el hiato esofágico?	Pilar derecho
¿Qué músculo cubre el ligamento arqueado medial?	Psoas mayor
¿Qué estructura atraviesa la porción muscular del diafragma?	Nervio vago
¿Qué estructura cruza junto a la aorta el hiato aórtico?	Conducto torácico
¿Cuál es la estructura más posterior del diafragma?	Aorta
¿En cuál de estas acciones no participa el diafragma?	Rotación del tronco
¿Cuál es el contenido principal del conducto inguinal en el varón?	Conducto deferente
¿Cuál es el contenido principal del conducto inguinal en la mujer?	Ligamento redondo
¿Qué nervio no pasa por el conducto inguinal?	Nervio femoral
¿Qué arteria no atraviesa el conducto inguinal?	Arteria epigástrica inferior
¿Cómo recorre la rama genital del nervio genitofemoral el conducto inguinal?	Entra por anillo profundo y sale por superficial
¿Cuál es la pared anterior del conducto inguinal?	Aponeurosis del oblicuo externo
¿Cuál es la pared posterior principal del conducto inguinal?	Fascia transversalis
¿Qué forma el techo del conducto inguinal?	Oblicuo interno y transverso
¿Qué forma el suelo del conducto inguinal?	Ligamento inguinal
¿Entre qué accidentes óseos se extiende el ligamento inguinal?	EIAS a tubérculo púbico
¿Dónde se localiza el anillo inguinal profundo respecto a los vasos epigástricos inferiores?	Lateral a los vasos epigástricos inferiores
¿Qué estructura refuerza la fascia transversalis en la región inguinal?	Ligamento interfoveolar
¿Cómo es la pared anterior de la vaina del recto por encima de la línea arqueada?	Oblicuo externo y mitad anterior del oblicuo interno
¿Cómo es la pared posterior de la vaina del recto por encima de la línea arqueada?	Mitad posterior del oblicuo interno y transverso
¿Qué plano divide el cuerpo en porciones superior e inferior?	Transversal
¿Qué delimita lateralmente la fosa supravesical?	Ligamento umbilical medial
¿Qué delimita lateralmente la fosa inguinal medial?	Vasos epigástricos inferiores
¿Qué estructura se sitúa ventral al cordón espermático?	Aponeurosis del oblicuo externo
¿Qué músculo no participa en el cuadrilátero lumbar de Grynfeltt?	Oblicuo externo
¿Qué forma el suelo del triángulo lumbar?	Transverso del abdomen
¿Qué nervio pasa por el cuadrilátero de Velpeau?	Axilar
¿Qué arteria acompaña al nervio axilar?	Circunfleja humeral posterior
¿Qué nervio proporciona la sensibilidad de la cara lateral del hombro?	Axilar
¿Qué músculo abductor está inervado por el nervio axilar?	Deltoides
¿Qué músculo del manguito rotador está inervado por el nervio axilar?	Redondo menor
¿Qué músculo no pertenece al manguito rotador?	Redondo mayor
¿Qué músculo inicia la abducción del brazo?	Supraespinoso
¿Qué músculo es el principal abductor del brazo a partir de 15°?	Deltoides
¿Qué tendón pasa por el espacio subacromial?	Supraespinoso
¿Qué ligamento refuerza superiormente la articulación glenohumeral?	Coracohumeral
¿Cómo se denomina el fibrocartílago de la articulación glenohumeral?	Rodete glenoideo
¿Qué músculo refuerza anteriormente la cápsula glenohumeral?	Subescapular
¿Qué músculos refuerzan posteriormente la cápsula glenohumeral?	Infraespinoso y redondo menor
¿Qué región capsular estabiliza más la articulación glenohumeral?	Anterior
¿Dónde se encuentra el foramen oval de Weitbrecht?	Entre ligamento glenohumeral superior y medio
¿Qué déficit puede producir una lesión del nervio supraescapular?	Déficit de rotación externa
¿Qué músculo rota internamente el hombro?	Subescapular
¿Qué músculo rota externamente el hombro?	Infraespinoso
¿Qué músculo no rota internamente el hombro?	Infraespinoso
¿Qué músculo no forma parte de la pared posterior de la axila?	Infraespinoso
¿Qué estructuras forman la pared posterior de la axila?	Subescapular, redondo mayor y dorsal ancho
¿Qué ligamento no refuerza la articulación glenohumeral?	Coracoclavicular
¿Qué nervio inerva el músculo coracobraquial?	Musculocutáneo
¿Qué nervio inerva el dorsal ancho?	Toracodorsal
¿De qué fascículo procede el nervio toracodorsal?	Fascículo posterior
¿Qué nervio inerva el serrato anterior?	Torácico largo
¿Qué nervio lesionado produce una escápula alada?	Torácico largo
¿Qué nervio inerva los romboides?	Dorsal de la escápula
¿Qué nervio nace directamente de C5?	Dorsal de la escápula
¿Qué nervio es rama del tronco superior del plexo braquial?	Supraescapular
¿De qué fascículo procede el nervio pectoral lateral?	Fascículo lateral
¿Cuál es la función principal del braquiorradial?	Flexión del codo
¿Cuál es el principal flexor del codo?	Braquial
¿Qué músculo no se origina en el epicóndilo medial?	Flexor profundo de los dedos
¿Qué arteria acompaña al nervio radial en el brazo?	Braquial profunda
¿Qué arteria acompaña al nervio cubital en el brazo?	Colateral cubital superior
¿Qué nervio es el principal responsable de la pronación?	Mediano
¿Qué nervio se comprime en el hiato del pronador redondo?	Mediano
¿Qué nervio lesionado impide la pronación?	Mediano
¿Qué nervio pasa entre las dos cabezas del pronador redondo?	Mediano
¿Qué nervio se comprime en el túnel carpiano?	Mediano
¿Qué nervio pasa por el túnel carpiano?	Mediano
¿Qué músculo profundo del compartimento posterior del antebrazo envuelve al radio proximal?	Supinador
¿Qué nervio atraviesa el músculo supinador?	Rama profunda del radial
¿Qué nervio se lesiona en la arcada de Frohse?	Rama profunda del radial
¿Qué estructuras se encuentran en la fosa cubital según la regla TAN?	Tendón, arteria y nervio
¿Dónde se localiza la arteria braquial respecto al nervio mediano en la fosa cubital?	Lateral
¿Qué ligamento se considera superficie articular del codo para la cabeza del radio?	Anular del radio
¿Qué nervio se sitúa posterior al epicóndilo medial en el codo?	Cubital
¿Qué nervio acompaña a la arteria cubital en el antebrazo?	Cubital
¿Qué músculo cubre al nervio y la arteria cubitales en el antebrazo?	Flexor superficial de los dedos
¿Qué músculo no pasa por las correderas dorsales del carpo?	Braquiorradial
¿Qué tendón es el más lateral en las correderas dorsales del carpo?	Extensor radial largo del carpo
¿Qué músculo no cruza la articulación radiocarpiana?	Braquiorradial
¿Qué acción no es propia del bíceps braquial?	Extensión glenohumeral
¿Cuál es la función más característica del bíceps braquial?	Supinación
¿Qué nervio atraviesa el canal de Guyon?	Cubital
¿Qué nervio pasa por el canal epitrocleo-olecraniano?	Cubital
¿Qué nervio inerva los músculos interóseos de la mano?	Cubital
¿Qué nervio permite la abducción de los dedos?	Cubital
¿Qué nervio permite la aducción del pulgar?	Cubital
¿Qué nervio aporta la sensibilidad de los tres dedos y medio laterales?	Mediano
¿Qué nervio aporta la sensibilidad del dedo meñique?	Cubital
¿Cuál es el músculo más profundo de la eminencia tenar?	Aductor del pulgar
¿Qué músculo produce la oposición del pulgar?	Oponente del pulgar
¿Cuál es el músculo más profundo de la eminencia hipotenar?	Oponente del meñique
¿Qué músculo se inserta en el hueso pisiforme?	Flexor cubital del carpo
¿Qué interóseo ocupa la cara radial del cuarto dedo?	Segundo palmar
¿Qué interóseo ocupa la cara radial del tercer dedo?	Segundo dorsal
¿De qué tendones se originan los lumbricales de la mano?	Flexor profundo de los dedos
¿Qué lumbrical suele conservarse en una lesión del canal de Guyon?	Segundo lumbrical
¿Cuál es el límite medial de la tabaquera anatómica?	Extensor largo del pulgar
¿Cuál es el límite lateral de la tabaquera anatómica?	Abductor largo y extensor corto del pulgar
¿Qué arteria pasa por la tabaquera anatómica?	Radial
¿Qué hueso forma el suelo principal de la tabaquera anatómica?	Escafoides
¿Qué ligamento intracapsular pertenece a la articulación de la cadera?	Ligamento de la cabeza del fémur
¿Cuál es el principal flexor de la cadera?	Iliopsoas
¿Qué músculo atraviesa el foramen isquiático menor?	Obturador interno
¿Qué estructura no atraviesa el foramen isquiático menor?	Piriforme
¿Qué músculo puede producir rotación interna de la cadera?	Glúteo menor
¿Qué músculo actúa como rotador externo de la cadera?	Cuadrado femoral
¿Qué nervio inerva principalmente a los músculos aductores del muslo?	Obturador
¿Qué nervio aporta sensibilidad a la cara medial del muslo?	Obturador
¿Qué raíces forman el nervio obturador?	L2-L3-L4
¿Qué rama del nervio obturador discurre entre el aductor corto y el aductor mayor?	Rama posterior del obturador
¿Qué acción no depende del nervio obturador?	Rotación interna del muslo
¿Qué músculo no es abductor de la cadera?	Obturador externo
¿Qué músculos forman el grupo abductor principal de la cadera?	Glúteo medio, glúteo menor y tensor de la fascia lata
¿Qué nervio inerva el glúteo menor?	Glúteo superior
¿Qué acción no realiza el tensor de la fascia lata?	Extensión de cadera
¿Qué estructura pasa por el agujero infrapiriforme?	Nervio ciático
¿Qué nervio sale de la pelvis por la región glútea y vuelve a entrar al periné?	Pudendo
¿Qué nervio sale de la pelvis por debajo del piriforme para inervar la región glútea?	Glúteo inferior
¿Cuál es la estructura más medial bajo el ligamento inguinal?	Vena femoral
¿Qué estructura ocupa la posición más lateral bajo el ligamento inguinal?	Nervio femoral
¿Qué nervio se encuentra en la laguna muscular?	Femoral
¿Qué nervio se encuentra en la laguna vascular?	Rama femoral del genitofemoral
¿Qué estructura no pasa por la laguna vascular?	Nervio cutáneo femoral lateral
¿Qué músculos forman la pata de ganso superficial?	Sartorio, grácil y semitendinoso
¿Qué músculo no forma parte de la pata de ganso superficial?	Semimembranoso
¿Qué músculo actúa como rotador externo de la rodilla?	Bíceps femoral
¿Qué músculo del muslo tiene doble inervación tibial y peronea común?	Bíceps femoral
¿Qué nervio inerva el cuádriceps femoral?	Femoral
¿Qué nervio permite la extensión de la rodilla?	Femoral
¿Qué estructura no es origen del cuádriceps?	EIAS
¿Cuál es el origen del recto femoral?	EIAI
¿Qué estructuras atraviesan el conducto aductor?	Arteria femoral, vena femoral y nervio safeno
¿Qué estructura no pasa por el conducto aductor?	Nervio femoral
¿Qué arteria atraviesa la membrana vastoaductora?	Arteria descendente de la rodilla
¿Cómo es el menisco lateral?	Casi circular
¿Cómo se clasifica el ligamento transverso de la rodilla?	Intraarticular extrasinovial
¿Qué nervio es una rama sensitiva del femoral y acompaña a la arteria femoral en el conducto aductor?	Safeno
¿Qué nervio aporta sensibilidad a la cara medial de la pierna?	Safeno
¿Qué nervio acompaña a la vena safena menor?	Sural
¿Qué nervio aporta sensibilidad a la cara posterolateral de la pierna?	Sural
¿Qué nervio permite la flexión plantar?	Tibial
¿Qué nervio permite la dorsiflexión del pie?	Peroneo profundo
¿Qué nervio inerva el peroneo largo?	Peroneo superficial
¿Qué nervio pasa bajo el retináculo extensor?	Peroneo profundo
¿Qué nervio cuya lesión impide extender los dedos del pie suele lesionarse en el cuello del peroné?	Peroneo común
¿Qué déficit produce una lesión en el cuello del peroné?	Pérdida de dorsiflexión y eversión
¿Qué nervio aporta sensibilidad plantar al talón?	Tibial
¿Qué músculos realizan la inversión del pie?	Tibial posterior y flexor largo de los dedos
¿Qué músculos realizan la eversión del pie?	Peroneos
¿Qué lesión impide ponerse de puntillas?	Rotura del tendón de Aquiles
¿Qué ligamento suele lesionarse en una eversión forzada del pie?	Deltoideo
¿Qué nervio no aporta sensibilidad al dorso del pie?	Tibial
¿Qué músculos pueden conservar la flexión de la pierna tras una lesión completa del ciático?	Sartorio y grácil
¿Cuál es el músculo más medial del compartimento profundo posterior de la pierna?	Flexor largo de los dedos
¿Cuál es el músculo más lateral del compartimento profundo posterior de la pierna?	Flexor largo del dedo gordo
